Timestamp,Age,Gender,"Height (scale in cm, e.g. 183)",Where are you come from? (Country),Were your parents born from the same country as you?,How many language you speak at home to your family?,Religion denomination,Which academic field are you studying?,How many different countries have you lived in?,What is the temperature in degrees celsius right now?,Past intercultural experience: have you ever done one of the following international programs?,Indicate how strong you agree/disagree with the following sentence: [Q1. I enjoy being with people who have different values],Indicate how strong you agree/disagree with the following sentence: [Q2. I would rather work with someone who is like me than with someone who is different],Indicate how strong you agree/disagree with the following sentence: [Q3. I prefer being with people who have similar ways of thinking and values to mine],Indicate how strong you agree/disagree with the following sentence: [Q4. I often read and watch news about foreign countries],Indicate how strong you agree/disagree with the following sentence: [Q5. I have strong interest in international affairs],Indicate how strong you agree/disagree with the following sentence: [Q6. I often talk about situations and events in foreign countries with family and or friends],Indicate how strong you agree/disagree with the following sentence: [Q7. I am very interested in volunteer work in developing countries],Indicate how strong you agree/disagree with the following sentence: [Q8. I plan to be involved in international volunteer activities],Q1. People like you,Q2. Your national companies,Q3. Creation of jobs,Q4. Our quality of life,Q5. your national cultural history and traditions,Q6. your ability to learn about other cultures,Q7. Democracy and human rights,Q8. Maintaining cultural diversity in the world,Q9. The environment,Q10. Spread out COVID19,Q11. I have changed my opinion about the positive impact of globalization on humankind due to COVID19
February,27,7,166,NL,no,4,Hindu,Arts and Humanities,2,9,Volunteer service,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,5,3,1,1,4,1,3,3,4,1,yes
February,38,3,198,PH,,2,Hindu,Arts and Humanities,1,15,Studying school abroad,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,,,,,,,,,,,,
April,19,4,171,NG,yes,5,Don't know,Mathematics and Statistics,3,5,Internship program,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,1,1,3,1,3,1,2,5,5,5,no
April,38,8,166,PL,yes,5,Orthodox,Mathematics and Statistics,2,22,Studying school abroad,Disagree,Strongly Disagree,,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,5,2,5,1,1,3,5,2,2,3,yes
May,25,6,162,SE,no,2,Hindu,Information and Communication Technologies,1,17,None,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,1,3,3,1,5,5,2,3,4,1,no
August,32,9,192,RU,yes,2,Other Christian,Arts and Humanities,1,8,Studying school abroad,,,Strongly Disagree,,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,3,3,2,5,5,3,4,5,2,1,no
February,28,9,171,ID,no,3,Buddhist,Mathematics and Statistics,2,-2,Volunteer service,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,3,4,2,5,5,2,5,2,2,2,yes
April,,2,168,ID,yes,3,Other,Information and Communication Technologies,2,18,Internship program,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,5,3,3,1,2,5,3,3,1,5,no
April,39,2,179,CN,no,1,Don't know,Arts and Humanities,2,18,Volunteer service,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,1,2,3,1,4,2,2,3,2,3,yes
July,38,8,162,PE,no,4,Do not belong to a any religion,Mathematics and Statistics,5,20,Studying school abroad,,,,,Disagree,Strongly Disagree,Agree,Agree,1,4,2,1,2,5,4,2,5,4,no
March,30,6,187,SD,no,2,Buddhist,Information and Communication Technologies,4,12,Internship program,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,1,3,1,5,1,2,5,5,4,1,yes
May,25,10,199,GR,,5,Buddhist,Mathematics and Statistics,2,27,Internship program,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,,,,,,,,,,,,
July,37,7,193,TH,,4,Do not belong to a any religion,Natural Science,3,19,Studying school abroad,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,,,,,,,,,,,,
May,34,3,198,CN,no,4,Orthodox,Information and Communication Technologies,4,-3,Internship program,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,3,3,1,4,3,2,4,5,2,2,yes
August,20,6,181,DM,,4,Don't know,Natural Science,5,18,Studying school abroad,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,,,,,,,,,,,,
August,23,1,159,PT,yes,3,Hindu,Business & Admin and Law,1,18,None,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,3,2,5,5,3,5,1,2,1,3,no
July,31,6,193,UA,yes,1,Roman Catholic,Arts and Humanities,5,13,Volunteer service,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,4,5,5,5,4,3,4,1,1,4,yes
July,38,7,152,PH,no,5,Other Christian,Mathematics and Statistics,2,16,Volunteer service,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,3,3,2,4,1,1,4,5,3,1,yes
May,22,2,151,CN,no,2,Do not belong to a any religion,Business & Admin and Law,3,22,Internship program,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,2,5,3,2,5,1,1,3,5,1,no
March,36,7,174,VN,yes,3,Other Christian,Business & Admin and Law,5,10,Internship program,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,4,3,1,5,5,3,3,1,1,5,yes
July,34,8,173,PL,no,1,Other,Arts and Humanities,4,6,None,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,5,5,3,4,4,4,5,4,2,3,yes
May,28,8,197,SI,yes,3,Do not belong to a any religion,Business & Admin and Law,5,24,Volunteer service,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,3,5,4,2,2,5,3,4,3,2,no
April,,2,182,EG,no,2,Do not belong to a any religion,Business & Admin and Law,5,23,Internship program,Agree,Agree,,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,5,5,3,5,1,5,5,3,1,1,no
May,36,9,173,CN,no,4,Other Christian,Information and Communication Technologies,1,9,Internship program,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,2,3,1,4,5,5,5,2,4,5,no
April,29,7,168,CZ,yes,1,Buddhist,Social Science,5,25,Volunteer service,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,2,3,5,5,4,5,3,3,2,1,no
February,20,8,199,CN,yes,3,Orthodox,Mathematics and Statistics,1,15,Volunteer service,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,3,3,2,5,3,2,3,3,2,5,no
July,31,8,153,PH,yes,4,Protestant,Mathematics and Statistics,4,0,None,Strongly Disagree,Strongly Disagree,,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,3,2,2,4,2,4,1,2,4,2,yes
March,39,2,187,BR,no,5,Orthodox,Mathematics and Statistics,4,-1,Studying school abroad,,,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,5,4,4,2,2,3,2,4,4,5,yes
June,29,5,154,MN,yes,2,Orthodox,Information and Communication Technologies,3,24,Volunteer service,Strongly Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,1,4,5,1,3,2,3,2,3,1,no
June,21,7,175,RU,no,1,Roman Catholic,Social Science,4,20,Studying school abroad,,,Strongly Disagree,,Agree,Disagree,Agree,Strongly Disagree,2,4,4,3,3,3,5,4,4,1,yes
July,40,6,163,CN,yes,1,Other Christian,Information and Communication Technologies,1,27,Internship program,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,2,3,5,2,3,3,4,2,2,5,yes
July,,5,182,AR,yes,2,Other Christian,Social Science,3,24,None,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,5,1,2,4,4,2,4,3,2,2,no
August,35,2,160,PH,no,1,Do not belong to a any religion,Business & Admin and Law,3,11,Internship program,Strongly Agree,Strongly Disagree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,1,5,2,1,3,4,3,2,2,4,yes
August,,8,160,CN,,5,Other,Business & Admin and Law,2,25,Internship program,Strongly Agree,Strongly Agree,,Strongly Disagree,Strongly Disagree,Agree,Disagree,,,,,,,,,,,,
July,34,3,155,JM,no,1,Buddhist,Natural Science,4,3,Internship program,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,1,2,1,4,1,4,4,5,4,4,yes
April,25,1,169,CO,yes,3,Roman Catholic,Business & Admin and Law,5,13,Internship program,Disagree,Disagree,,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,2,5,4,5,5,3,2,2,5,4,no
February,32,8,200,US,yes,4,Buddhist,Information and Communication Technologies,4,2,Volunteer service,Strongly Disagree,Agree,,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,2,1,4,2,5,3,2,5,1,3,no
February,20,2,193,HN,yes,4,Protestant,Arts and Humanities,3,26,Internship program,Strongly Disagree,Strongly Disagree,,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,4,1,5,4,1,1,3,1,4,2,no
May,37,5,172,BR,no,2,Jew,Natural Science,1,10,Studying school abroad,Agree,Strongly Disagree,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,5,5,2,3,3,3,4,5,1,5,yes
March,35,10,180,AR,yes,4,Do not belong to a any religion,Natural Science,3,-1,Internship program,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,4,5,4,1,2,1,4,3,1,1,no
May,,7,151,CN,no,1,Don't know,Mathematics and Statistics,4,13,None,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,5,1,3,2,5,1,1,1,2,4,yes
July,36,6,183,ID,yes,1,Other Christian,Mathematics and Statistics,3,27,None,Strongly Disagree,Disagree,,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,1,4,5,2,1,4,4,2,4,1,no
March,24,10,166,PK,no,2,Protestant,Business & Admin and Law,2,16,Internship program,Agree,Disagree,,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,1,5,5,1,1,2,4,3,1,1,yes
May,21,7,154,CA,yes,4,Hindu,Information and Communication Technologies,5,13,Studying school abroad,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,3,2,5,3,5,5,3,4,2,4,yes
May,25,5,180,BD,no,2,Don't know,Business & Admin and Law,3,-5,Internship program,,,Disagree,,Strongly Agree,Disagree,Agree,Agree,2,2,2,3,5,5,4,2,5,3,no
April,33,2,179,AR,no,5,Protestant,Information and Communication Technologies,5,8,Internship program,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,4,4,4,2,4,2,3,3,1,2,yes
March,22,3,190,BR,,5,Do not belong to a any religion,Mathematics and Statistics,2,19,Volunteer service,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,,,,,,,,,,,,
May,25,7,196,ID,,1,Other,Social Science,1,7,Studying school abroad,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,,,,,,,,,,,,
May,37,1,191,BR,yes,2,Hindu,Mathematics and Statistics,4,6,Studying school abroad,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,2,5,5,4,4,1,4,5,5,1,no
April,31,7,192,ID,,5,Orthodox,Information and Communication Technologies,2,10,None,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,,,,,,,,,,,,
May,38,4,168,NO,,2,Buddhist,Arts and Humanities,4,2,Internship program,Disagree,Strongly Agree,,Strongly Disagree,Agree,Disagree,Strongly Agree,,,,,,,,,,,,
February,37,9,199,BY,yes,2,Hindu,Business & Admin and Law,2,4,Studying school abroad,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,1,3,1,5,4,5,1,1,1,5,yes
April,,6,172,VE,no,1,Roman Catholic,Social Science,5,24,Studying school abroad,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,2,3,3,4,5,3,1,2,3,2,yes
June,18,7,164,CN,yes,5,Don't know,Information and Communication Technologies,4,15,Internship program,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,5,2,3,5,3,5,5,2,3,5,yes
February,26,6,156,CN,no,3,Other Christian,Information and Communication Technologies,1,4,None,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,4,4,5,5,5,4,4,3,2,2,yes
March,27,8,192,FI,no,1,Hindu,Mathematics and Statistics,1,4,None,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,2,4,5,3,1,1,1,5,3,1,no
March,29,2,177,HK,no,5,Other Christian,Information and Communication Technologies,3,19,Studying school abroad,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,4,1,2,3,5,1,4,4,4,3,no
July,24,2,154,PL,yes,1,Protestant,Information and Communication Technologies,5,19,Studying school abroad,Disagree,Strongly Agree,,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,4,1,4,5,1,4,5,5,2,5,no
August,23,6,162,ID,no,3,Don't know,Arts and Humanities,5,17,Internship program,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,4,2,3,2,3,4,3,3,4,3,no
February,,1,159,CN,no,1,Hindu,Natural Science,5,3,Volunteer service,,,Strongly Agree,,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,5,1,5,5,1,1,5,1,2,1,yes
August,21,7,158,BR,no,1,Buddhist,Social Science,1,22,None,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,5,4,3,2,1,1,1,4,3,3,no
July,30,9,153,NZ,yes,3,Other,Arts and Humanities,2,-4,Internship program,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,2,3,5,4,1,2,2,5,4,3,yes
June,37,9,160,HN,yes,,,Mathematics and Statistics,,,,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,5,1,5,1,1,4,5,1,1,1,yes
May,20,10,183,CN,no,2,Protestant,Arts and Humanities,4,11,None,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,2,2,3,1,4,5,1,4,5,5,no
June,31,1,167,JP,yes,1,Orthodox,Arts and Humanities,4,25,Internship program,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,2,5,2,4,2,5,4,4,2,5,no
March,20,10,194,CA,yes,2,Protestant,Mathematics and Statistics,3,23,Internship program,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,1,5,4,2,1,1,1,1,3,4,no
May,24,8,155,CN,no,5,Hindu,Mathematics and Statistics,3,6,Studying school abroad,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,4,1,5,5,3,3,1,3,1,5,no
February,32,6,155,GT,yes,4,Orthodox,Mathematics and Statistics,5,16,Volunteer service,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,3,5,1,4,2,3,2,2,1,4,yes
March,24,6,180,CR,yes,1,Don't know,Information and Communication Technologies,3,24,Studying school abroad,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,2,3,4,3,5,1,3,5,3,1,yes
June,23,5,183,RU,no,4,Other,Social Science,3,-2,Internship program,,,,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,5,1,2,2,4,4,2,4,2,2,no
June,21,5,190,DE,no,3,Jew,Arts and Humanities,5,-4,Studying school abroad,Disagree,Strongly Agree,,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,1,2,2,1,4,2,5,2,2,5,no
June,,9,190,PH,no,4,Roman Catholic,Information and Communication Technologies,3,21,Internship program,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,5,5,5,5,2,5,1,5,2,3,yes
February,31,4,157,IR,no,5,Other,Natural Science,2,21,Volunteer service,Strongly Agree,Strongly Agree,,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,2,5,3,2,3,2,1,1,1,4,yes
June,36,1,152,PS,yes,4,Buddhist,Arts and Humanities,5,2,Volunteer service,Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,2,5,2,1,5,3,1,4,1,1,no
March,27,10,163,CN,no,3,Hindu,Information and Communication Technologies,2,-1,Internship program,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,3,3,3,4,4,4,2,4,4,4,yes
June,32,4,188,VU,yes,5,Buddhist,Natural Science,4,10,None,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,5,3,3,5,3,1,3,2,5,4,no
April,21,7,151,ID,,3,Do not belong to a any religion,Mathematics and Statistics,1,25,Studying school abroad,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,
August,18,4,158,PH,no,5,Roman Catholic,Social Science,3,11,Studying school abroad,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,5,1,5,2,5,3,4,4,3,2,yes
February,36,2,163,PH,no,4,Protestant,Information and Communication Technologies,1,26,None,Agree,Disagree,,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,5,2,5,5,3,2,4,1,3,1,yes
August,29,4,194,ID,no,1,Hindu,Mathematics and Statistics,4,-4,Volunteer service,,,Strongly Disagree,,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,5,1,4,3,5,3,4,5,5,2,no
May,21,6,156,CN,,4,Orthodox,Natural Science,1,20,Volunteer service,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,,,,,,,,,,,,
June,26,1,197,CZ,no,3,Protestant,Mathematics and Statistics,5,3,Internship program,Agree,Disagree,,Agree,Agree,Disagree,Agree,Strongly Agree,5,3,5,4,5,3,4,4,3,2,no
June,34,3,191,RU,yes,1,Hindu,Business & Admin and Law,4,11,Volunteer service,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,1,3,3,5,5,5,2,5,3,4,yes
February,38,1,176,ID,yes,1,Don't know,Social Science,3,-4,Studying school abroad,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,2,5,5,1,5,2,4,4,1,2,yes
May,20,10,182,ID,no,3,Don't know,Information and Communication Technologies,5,10,None,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,1,2,2,1,5,5,5,5,2,5,yes
August,39,4,200,AM,yes,4,Other,Arts and Humanities,5,27,Studying school abroad,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,2,4,1,1,3,1,1,3,3,5,no
February,32,2,161,CN,no,2,Other Christian,Arts and Humanities,5,27,Internship program,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,5,4,4,3,1,4,3,4,1,2,yes
June,35,5,192,CN,yes,4,Roman Catholic,Natural Science,1,14,None,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,2,3,4,3,3,2,5,2,3,1,yes
August,40,3,180,LU,yes,5,Other,Mathematics and Statistics,5,19,Internship program,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,4,3,5,3,5,5,5,2,3,4,no
August,28,8,192,CZ,yes,2,Other,Information and Communication Technologies,1,14,None,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,3,1,2,1,5,5,5,1,5,2,yes
August,,6,153,LK,no,4,Protestant,Arts and Humanities,5,-1,Internship program,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,4,1,1,5,4,5,2,5,1,5,yes
April,18,8,173,MK,yes,2,Buddhist,Social Science,3,15,None,Strongly Disagree,Strongly Agree,,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,2,2,1,4,2,3,3,5,3,2,yes
May,21,6,189,PT,,2,Jew,Mathematics and Statistics,4,26,Internship program,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,,,,,,,,,,,,
March,29,9,198,GR,no,5,Buddhist,Mathematics and Statistics,1,23,None,Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,4,3,4,2,5,4,4,3,3,5,yes
May,24,2,197,AR,yes,,,Natural Science,,,,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,5,1,2,4,1,2,5,3,3,2,yes
April,39,4,197,RU,yes,3,Protestant,Mathematics and Statistics,2,16,Studying school abroad,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,4,4,3,3,4,5,1,4,1,1,yes
July,33,8,150,PT,yes,2,Jew,Mathematics and Statistics,3,21,None,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,2,3,4,1,2,2,1,2,2,5,yes
April,,5,151,TH,no,4,Protestant,Information and Communication Technologies,5,22,None,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,5,3,1,2,4,4,3,4,4,1,yes
February,33,6,177,RU,no,5,Don't know,Information and Communication Technologies,3,27,None,Agree,Agree,,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,1,1,5,2,4,4,1,5,1,2,no
February,28,8,198,GR,no,5,Jew,Arts and Humanities,3,22,Studying school abroad,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,3,4,3,5,1,4,1,1,4,2,yes
March,36,1,155,CN,no,5,Protestant,Mathematics and Statistics,4,3,Studying school abroad,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,4,2,1,5,4,1,5,1,3,4,no
June,29,6,187,FR,yes,,,Information and Communication Technologies,,,,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,1,2,1,2,2,5,4,2,2,1,yes
August,24,9,152,YE,yes,1,Do not belong to a any religion,Information and Communication Technologies,2,-2,None,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,2,5,1,4,5,3,5,3,5,3,no
February,26,3,184,MX,no,,,Mathematics and Statistics,,,,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,3,3,2,4,1,3,5,4,4,2,no
April,27,1,188,CA,yes,5,Do not belong to a any religion,Mathematics and Statistics,2,-2,None,,,Disagree,,Strongly Disagree,Agree,Agree,Strongly Disagree,1,5,4,1,1,5,3,1,2,1,no
August,,2,173,ID,no,1,Don't know,Arts and Humanities,3,3,Internship program,Disagree,Strongly Agree,,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,4,2,1,2,1,3,1,1,2,2,no
February,37,1,179,ID,yes,3,Do not belong to a any religion,Social Science,4,26,None,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,2,2,5,4,3,4,2,5,2,4,yes
July,30,7,178,MX,yes,2,Jew,Social Science,1,-3,Studying school abroad,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,4,2,3,5,3,2,1,3,1,4,yes
August,34,7,177,BR,yes,5,Roman Catholic,Arts and Humanities,3,-1,None,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,5,3,3,1,5,2,3,5,5,1,no
March,21,8,197,CN,no,2,Orthodox,Business & Admin and Law,3,7,Volunteer service,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,1,1,2,5,3,3,3,1,1,4,yes
April,32,6,188,BR,yes,3,Roman Catholic,Mathematics and Statistics,1,21,None,Strongly Disagree,Disagree,,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,1,2,5,5,2,5,5,4,2,3,no
August,26,9,179,RU,yes,2,Hindu,Information and Communication Technologies,3,14,None,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,2,3,2,4,2,3,2,1,5,2,yes
March,40,6,191,RU,no,1,Don't know,Business & Admin and Law,5,17,None,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,5,3,2,4,1,2,5,1,4,5,no
May,39,9,187,CO,no,2,Do not belong to a any religion,Mathematics and Statistics,1,18,Studying school abroad,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,4,2,1,1,1,3,2,2,3,5,yes
February,34,3,184,EG,yes,4,Orthodox,Arts and Humanities,2,13,Studying school abroad,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,1,1,5,4,1,1,4,4,3,3,yes
April,,5,154,BQ,yes,5,Protestant,Social Science,2,16,Internship program,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,4,2,4,2,5,2,5,1,2,2,yes
June,,3,161,BR,yes,2,Hindu,Social Science,3,16,Studying school abroad,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,2,5,4,5,2,5,4,2,5,1,no
July,27,10,169,ID,no,3,Jew,Mathematics and Statistics,2,-2,Studying school abroad,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,1,3,3,1,1,5,5,1,5,2,no
July,27,2,198,PH,no,,,Mathematics and Statistics,,,,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,4,1,5,1,2,4,5,1,5,2,yes
August,40,3,188,CN,,5,Roman Catholic,Information and Communication Technologies,4,12,Volunteer service,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,
July,22,8,186,GB,no,5,Don't know,Natural Science,2,7,None,Strongly Agree,Strongly Disagree,,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,4,5,5,4,1,1,5,3,4,1,yes
